,ReactionID,Participation,Stiochiometry,MoleculeID
0,R-BTA-109338,Substrate,1,R-ALL-77358
1,R-BTA-109338,Product,1,R-ALL-77360
2,R-BTA-109341,Substrate,1,R-ALL-113596
3,R-BTA-109341,Substrate,1,R-ALL-109986
4,R-BTA-109341,Product,1,R-ALL-109990
5,R-BTA-109341,Product,1,R-ALL-31649
6,R-BTA-109998,Substrate,1,R-ALL-109994
7,R-BTA-109998,Product,1,R-ALL-77343
8,R-BTA-140355,Substrate,2,R-ALL-113534
9,R-BTA-140355,Substrate,1,R-ALL-140356
10,R-BTA-140355,Product,1,R-ALL-140357
11,R-BTA-140359,Substrate,2,R-ALL-156540
12,R-BTA-140359,Substrate,2,R-ALL-76342
13,R-BTA-140359,Substrate,1,R-ALL-140357
14,R-BTA-140359,Product,1,R-ALL-113519
15,R-BTA-140359,Product,1,R-ALL-30138
16,R-BTA-1449687,Substrate,1,R-ALL-1449707
17,R-BTA-1449687,Substrate,1,R-BTA-1449658
18,R-BTA-1449687,Product,1,R-BTA-1449677
19,R-BTA-1482533,Substrate,1,R-ALL-1500578
20,R-BTA-1482533,Substrate,1,R-ALL-975614
21,R-BTA-1482533,Product,1,R-ALL-426925
22,R-BTA-1482533,Product,1,R-ALL-76194
23,R-BTA-1482539,Substrate,1,R-ALL-1500578
24,R-BTA-1482539,Substrate,1,R-ALL-1498740
25,R-BTA-1482539,Product,1,R-ALL-1483256
26,R-BTA-1482539,Product,1,R-ALL-76194
27,R-BTA-1482543,Substrate,1,R-ALL-1498728
28,R-BTA-1482543,Substrate,1,R-ALL-29356
29,R-BTA-1482543,Product,1,R-ALL-1500593
30,R-BTA-1482543,Product,1,R-ALL-76116
31,R-BTA-1482546,Substrate,1,R-ALL-1524047
32,R-BTA-1482546,Substrate,1,R-ALL-1524038
33,R-BTA-1482546,Product,1,R-ALL-29374
34,R-BTA-1482546,Product,1,R-ALL-1524042
35,R-BTA-1482547,Substrate,1,R-ALL-1524028
36,R-BTA-1482547,Substrate,1,R-ALL-1500578
37,R-BTA-1482547,Product,1,R-ALL-426925
38,R-BTA-1482547,Product,1,R-ALL-76194
39,R-BTA-1482548,Substrate,1,R-ALL-1500578
40,R-BTA-1482548,Substrate,1,R-ALL-1500580
41,R-BTA-1482548,Product,1,R-ALL-1500590
42,R-BTA-1482548,Product,1,R-ALL-76194
43,R-BTA-1482598,Substrate,1,R-ALL-1498733
44,R-BTA-1482598,Substrate,1,R-ALL-1500578
45,R-BTA-1482598,Product,1,R-ALL-426639
46,R-BTA-1482598,Product,1,R-ALL-76194
47,R-BTA-1482604,Substrate,1,R-ALL-29356
48,R-BTA-1482604,Substrate,1,R-ALL-1500590
49,R-BTA-1482604,Product,1,R-ALL-1500580
50,R-BTA-1482604,Product,1,R-ALL-1524103
51,R-BTA-1482612,Substrate,1,R-ALL-29356
52,R-BTA-1482612,Substrate,1,R-ALL-975614
53,R-BTA-1482612,Product,1,R-ALL-1498750
54,R-BTA-1482612,Product,1,R-ALL-1524021
55,R-BTA-1482626,Substrate,1,R-ALL-1498737
56,R-BTA-1482626,Substrate,1,R-ALL-1500578
57,R-BTA-1482626,Product,1,R-ALL-426639
58,R-BTA-1482626,Product,1,R-ALL-76194
59,R-BTA-1482635,Substrate,1,R-ALL-1498730
60,R-BTA-1482635,Substrate,1,R-ALL-1500578
61,R-BTA-1482635,Product,1,R-ALL-1483256
62,R-BTA-1482635,Product,1,R-ALL-76194
63,R-BTA-1482636,Substrate,1,R-ALL-1500578
64,R-BTA-1482636,Substrate,1,R-ALL-1498724
65,R-BTA-1482636,Product,1,R-ALL-76194
66,R-BTA-1482636,Product,1,R-ALL-1500646
67,R-BTA-1482646,Substrate,1,R-ALL-1498729
68,R-BTA-1482646,Substrate,1,R-ALL-1500578
69,R-BTA-1482646,Product,1,R-ALL-76194
70,R-BTA-1482646,Product,1,R-ALL-1500581
71,R-BTA-1482647,Substrate,1,R-ALL-1498728
72,R-BTA-1482647,Substrate,1,R-ALL-1500596
73,R-BTA-1482647,Product,1,R-ALL-76116
74,R-BTA-1482647,Product,1,R-ALL-1500594
75,R-BTA-1482654,Substrate,2,R-ALL-1498728
76,R-BTA-1482654,Product,1,R-ALL-76116
77,R-BTA-1482654,Product,1,R-ALL-1500596
78,R-BTA-1482656,Substrate,1,R-ALL-29356
79,R-BTA-1482656,Substrate,1,R-ALL-426755
80,R-BTA-1482656,Product,1,R-ALL-1500604
81,R-BTA-1482656,Product,1,R-ALL-1524021
82,R-BTA-1482667,Substrate,1,R-ALL-1500578
83,R-BTA-1482667,Substrate,1,R-ALL-1498738
84,R-BTA-1482667,Product,1,R-ALL-76194
85,R-BTA-1482667,Product,1,R-ALL-1500581
86,R-BTA-1482679,Substrate,1,R-ALL-29356
87,R-BTA-1482679,Substrate,1,R-ALL-426755
88,R-BTA-1482679,Product,1,R-ALL-1500604
89,R-BTA-1482679,Product,1,R-ALL-1524021
90,R-BTA-1482685,Substrate,1,R-ALL-29356
91,R-BTA-1482685,Substrate,1,R-ALL-1524028
92,R-BTA-1482685,Product,1,R-ALL-1498750
93,R-BTA-1482685,Product,1,R-ALL-1524021
94,R-BTA-1482689,Substrate,1,R-ALL-1524027
95,R-BTA-1482689,Substrate,1,R-ALL-1524038
96,R-BTA-1482689,Product,1,R-ALL-29374
97,R-BTA-1482689,Product,1,R-ALL-1524042
98,R-BTA-1482691,Substrate,1,R-ALL-1500578
99,R-BTA-1482691,Substrate,1,R-ALL-1498722
100,R-BTA-1482691,Product,1,R-ALL-76194
101,R-BTA-1482691,Product,1,R-ALL-1500646
102,R-BTA-1482695,Substrate,1,R-ALL-1500578
103,R-BTA-1482695,Substrate,1,R-ALL-76114
104,R-BTA-1482695,Product,1,R-ALL-76194
105,R-BTA-1482695,Product,1,R-ALL-1500580
106,R-BTA-1482745,Substrate,1,R-ALL-1524042
107,R-BTA-1482745,Substrate,1,R-ALL-113521
108,R-BTA-1482745,Product,1,R-ALL-1524027
109,R-BTA-1482745,Product,1,R-ALL-1524085
110,R-BTA-1482771,Substrate,1,R-ALL-29356
111,R-BTA-1482771,Substrate,1,R-ALL-1500646
112,R-BTA-1482771,Product,1,R-ALL-1524021
113,R-BTA-1482771,Product,1,R-ALL-1498724
114,R-BTA-1482776,Substrate,1,R-ALL-29356
115,R-BTA-1482776,Substrate,1,R-ALL-1500646
116,R-BTA-1482776,Product,1,R-ALL-1524021
117,R-BTA-1482776,Product,1,R-ALL-1498724
118,R-BTA-1482777,Substrate,1,R-ALL-29356
119,R-BTA-1482777,Substrate,1,R-ALL-1500594
120,R-BTA-1482777,Product,1,R-ALL-1524021
121,R-BTA-1482777,Product,1,R-ALL-1500596
122,R-BTA-1482781,Substrate,1,R-ALL-1524075
123,R-BTA-1482781,Substrate,1,R-ALL-1498773
124,R-BTA-1482781,Product,1,R-ALL-1524072
125,R-BTA-1482781,Product,1,R-ALL-1524079
126,R-BTA-1482794,Substrate,1,R-ALL-1524072
127,R-BTA-1482794,Substrate,1,R-ALL-1524079
128,R-BTA-1482794,Product,1,R-ALL-1524075
129,R-BTA-1482794,Product,1,R-ALL-1498773
130,R-BTA-1482811,Substrate,1,R-ALL-29356
131,R-BTA-1482811,Substrate,1,R-ALL-1500596
132,R-BTA-1482811,Product,1,R-ALL-1498728
133,R-BTA-1482811,Product,1,R-ALL-1524021
134,R-BTA-1482816,Substrate,1,R-ALL-29356
135,R-BTA-1482816,Substrate,1,R-ALL-426925
136,R-BTA-1482816,Product,1,R-ALL-1524028
137,R-BTA-1482816,Product,1,R-ALL-1524021
138,R-BTA-1482825,Substrate,1,R-ALL-29356
139,R-BTA-1482825,Substrate,1,R-ALL-426639
140,R-BTA-1482825,Product,1,R-ALL-1498733
141,R-BTA-1482825,Product,1,R-ALL-1524021
142,R-BTA-1482828,Substrate,1,R-ALL-29356
143,R-BTA-1482828,Substrate,1,R-ALL-1500581
144,R-BTA-1482828,Product,1,R-ALL-1498729
145,R-BTA-1482828,Product,1,R-ALL-1524021
146,R-BTA-1482847,Substrate,1,R-ALL-1524042
147,R-BTA-1482847,Substrate,1,R-ALL-113521
148,R-BTA-1482847,Product,1,R-ALL-1524047
149,R-BTA-1482847,Product,1,R-ALL-1524085
150,R-BTA-1482850,Substrate,1,R-ALL-1524083
151,R-BTA-1482850,Substrate,1,R-ALL-1498773
152,R-BTA-1482850,Product,1,R-ALL-1524072
153,R-BTA-1482850,Product,1,R-ALL-1524089
154,R-BTA-1482856,Substrate,1,R-ALL-29356
155,R-BTA-1482856,Substrate,1,R-ALL-426925
156,R-BTA-1482856,Product,1,R-ALL-1524028
157,R-BTA-1482856,Product,1,R-ALL-1524021
158,R-BTA-1482861,Substrate,1,R-ALL-1500578
159,R-BTA-1482861,Substrate,1,R-ALL-1524069
160,R-BTA-1482861,Product,1,R-ALL-1524081
161,R-BTA-1482861,Product,1,R-ALL-76194
162,R-BTA-1482862,Substrate,1,R-ALL-29356
163,R-BTA-1482862,Substrate,1,R-ALL-426925
164,R-BTA-1482862,Product,1,R-ALL-1524021
165,R-BTA-1482862,Product,1,R-ALL-975614
166,R-BTA-1482867,Substrate,1,R-ALL-1524080
167,R-BTA-1482867,Substrate,1,R-ALL-1500578
168,R-BTA-1482867,Product,1,R-ALL-76194
169,R-BTA-1482867,Product,1,R-ALL-1524069
170,R-BTA-1482868,Substrate,1,R-ALL-29356
171,R-BTA-1482868,Substrate,1,R-ALL-426639
172,R-BTA-1482868,Product,1,R-ALL-1498733
173,R-BTA-1482868,Product,1,R-ALL-1524021
174,R-BTA-1482884,Substrate,1,R-ALL-29356
175,R-BTA-1482884,Substrate,1,R-ALL-1500581
176,R-BTA-1482884,Product,1,R-ALL-1498738
177,R-BTA-1482884,Product,1,R-ALL-1524021
178,R-BTA-1482887,Substrate,1,R-ALL-29356
179,R-BTA-1482887,Substrate,1,R-ALL-1500581
180,R-BTA-1482887,Product,1,R-ALL-1498738
181,R-BTA-1482887,Product,1,R-ALL-1524021
182,R-BTA-1482889,Substrate,1,R-ALL-1500578
183,R-BTA-1482889,Substrate,1,R-ALL-1500596
184,R-BTA-1482889,Product,1,R-ALL-1500594
185,R-BTA-1482889,Product,1,R-ALL-76194
186,R-BTA-1482894,Substrate,1,R-ALL-1524072
187,R-BTA-1482894,Substrate,1,R-ALL-1524089
188,R-BTA-1482894,Product,1,R-ALL-1524083
189,R-BTA-1482894,Product,1,R-ALL-1498773
190,R-BTA-1482897,Substrate,1,R-ALL-29356
191,R-BTA-1482897,Substrate,1,R-ALL-1500646
192,R-BTA-1482897,Product,1,R-ALL-1498722
193,R-BTA-1482897,Product,1,R-ALL-1524021
194,R-BTA-1482900,Substrate,1,R-ALL-1483256
195,R-BTA-1482900,Substrate,1,R-ALL-29356
196,R-BTA-1482900,Product,1,R-ALL-1524021
197,R-BTA-1482900,Product,1,R-ALL-1498740
198,R-BTA-1482907,Substrate,1,R-ALL-1483256
199,R-BTA-1482907,Substrate,1,R-ALL-29356
200,R-BTA-1482907,Product,1,R-ALL-1524021
201,R-BTA-1482907,Product,1,R-ALL-1498740
202,R-BTA-1482920,Substrate,1,R-ALL-1483256
203,R-BTA-1482920,Substrate,1,R-ALL-29356
204,R-BTA-1482920,Product,1,R-ALL-1498730
205,R-BTA-1482920,Product,1,R-ALL-1524021
206,R-BTA-1482932,Substrate,1,R-ALL-29356
207,R-BTA-1482932,Substrate,1,R-ALL-426639
208,R-BTA-1482932,Product,1,R-ALL-1498737
209,R-BTA-1482932,Product,1,R-ALL-1524021
210,R-BTA-1482962,Substrate,1,R-ALL-1500603
211,R-BTA-1482962,Substrate,1,R-ALL-1500596
212,R-BTA-1482962,Product,1,R-ALL-1500581
213,R-BTA-1482962,Product,1,R-ALL-109395
214,R-BTA-1482976,Substrate,1,R-ALL-426955
215,R-BTA-1482976,Substrate,1,R-ALL-426910
216,R-BTA-1482976,Product,1,R-ALL-426639
217,R-BTA-1482976,Product,1,R-ALL-109395
218,R-BTA-1483004,Substrate,1,R-ALL-264618
219,R-BTA-1483004,Substrate,1,R-ALL-113592
220,R-BTA-1483004,Product,1,R-ALL-29370
221,R-BTA-1483004,Product,1,R-ALL-1524071
222,R-BTA-1483063,Substrate,1,R-ALL-1524042
223,R-BTA-1483063,Substrate,1,R-ALL-1524064
224,R-BTA-1483063,Product,1,R-ALL-1524072
225,R-BTA-1483063,Product,1,R-ALL-1524067
226,R-BTA-1483089,Substrate,1,R-ALL-200736
227,R-BTA-1483089,Substrate,1,R-ALL-1500581
228,R-BTA-1483089,Product,1,R-ALL-1498751
229,R-BTA-1483089,Product,1,R-ALL-1500646
230,R-BTA-1483096,Substrate,1,R-ALL-29356
231,R-BTA-1483096,Substrate,1,R-ALL-428686
232,R-BTA-1483096,Product,1,R-ALL-29372
233,R-BTA-1483096,Product,1,R-ALL-1498751
234,R-BTA-1483121,Substrate,1,R-ALL-110614
235,R-BTA-1483121,Substrate,1,R-ALL-426755
236,R-BTA-1483121,Product,1,R-ALL-111294
237,R-BTA-1483121,Product,1,R-ALL-426955
238,R-BTA-1483159,Substrate,1,R-ALL-29356
239,R-BTA-1483159,Substrate,1,R-ALL-1524071
240,R-BTA-1483159,Product,1,R-ALL-264618
241,R-BTA-1483159,Product,1,R-ALL-29372
242,R-BTA-1483165,Substrate,1,R-ALL-1524101
243,R-BTA-1483165,Substrate,1,R-ALL-110577
244,R-BTA-1483165,Product,1,R-ALL-159450
245,R-BTA-1483165,Product,1,R-ALL-1524064
246,R-BTA-1483182,Substrate,1,R-ALL-29356
247,R-BTA-1483182,Substrate,1,R-ALL-426925
248,R-BTA-1483182,Product,1,R-ALL-264618
249,R-BTA-1483182,Product,1,R-ALL-426755
250,R-BTA-1483186,Substrate,1,R-ALL-426925
251,R-BTA-1483186,Substrate,1,R-ALL-200736
252,R-BTA-1483186,Product,1,R-ALL-264618
253,R-BTA-1483186,Product,1,R-ALL-1500646
254,R-BTA-1483190,Substrate,1,R-ALL-428686
255,R-BTA-1483190,Substrate,1,R-ALL-110614
256,R-BTA-1483190,Product,1,R-ALL-111294
257,R-BTA-1483190,Product,1,R-ALL-1500603
262,R-BTA-1483203,Substrate,1,R-ALL-29356
263,R-BTA-1483203,Substrate,1,R-ALL-426755
264,R-BTA-1483203,Product,1,R-ALL-29372
265,R-BTA-1483203,Product,1,R-ALL-1500596
266,R-BTA-1483222,Substrate,1,R-ALL-113592
267,R-BTA-1483222,Substrate,1,R-ALL-1498751
268,R-BTA-1483222,Product,1,R-ALL-29370
269,R-BTA-1483222,Product,1,R-ALL-428686
270,R-BTA-159425,Substrate,1,R-ALL-113592
271,R-BTA-159425,Substrate,1,R-ALL-76194
272,R-BTA-159425,Substrate,1,R-ALL-194096
273,R-BTA-159425,Product,1,R-ALL-111294
274,R-BTA-159425,Product,1,R-ALL-29356
275,R-BTA-159425,Product,1,R-ALL-194073
276,R-BTA-159425,Product,1,R-ALL-76577
277,R-BTA-1602368,Substrate,1,R-ALL-109276
278,R-BTA-1602368,Substrate,1,R-ALL-1602402
279,R-BTA-1602368,Product,1,R-ALL-1602415
280,R-BTA-1602368,Product,1,R-ALL-1602366
281,R-BTA-1602374,Substrate,1,R-ALL-109276
282,R-BTA-1602374,Substrate,1,R-ALL-33625
283,R-BTA-1602374,Product,1,R-ALL-1602419
284,R-BTA-1602374,Product,1,R-ALL-1602366
285,R-BTA-1602377,Substrate,1,R-ALL-109276
286,R-BTA-1602377,Substrate,1,R-ALL-426658
287,R-BTA-1602377,Product,1,R-ALL-1602420
288,R-BTA-1602377,Product,1,R-ALL-1602366
289,R-BTA-1602398,Substrate,1,R-ALL-1602375
290,R-BTA-1602398,Substrate,1,R-ALL-109276
291,R-BTA-1602398,Product,1,R-ALL-1602372
292,R-BTA-1602398,Product,1,R-ALL-1602366
293,R-BTA-1602399,Substrate,1,R-ALL-109276
294,R-BTA-1602399,Substrate,1,R-ALL-429802
295,R-BTA-1602399,Product,1,R-ALL-1602390
296,R-BTA-1602399,Product,1,R-ALL-1602366
297,R-BTA-1602417,Substrate,1,R-ALL-109276
298,R-BTA-1602417,Substrate,1,R-ALL-429802
299,R-BTA-1602417,Product,1,R-ALL-1602390
300,R-BTA-1602417,Product,1,R-ALL-1602366
301,R-BTA-1602446,Substrate,1,R-ALL-109276
302,R-BTA-1602446,Substrate,1,R-ALL-1602448
303,R-BTA-1602446,Product,1,R-ALL-1602447
304,R-BTA-1602446,Product,1,R-ALL-1602366
305,R-BTA-1605595,Substrate,1,R-ALL-1605715
306,R-BTA-1605595,Substrate,1,R-BTA-1605600
307,R-BTA-1605595,Product,1,R-BTA-1605614
308,R-BTA-1605595,Product,1,R-ALL-1605658
309,R-BTA-1605595,Product,1,R-ALL-1605641
310,R-BTA-1605632,Substrate,1,R-ALL-1605715
311,R-BTA-1605632,Substrate,1,R-ALL-1605608
312,R-BTA-1605632,Product,1,R-ALL-1605716
313,R-BTA-1605632,Product,1,R-ALL-1605658
314,R-BTA-1605717,Substrate,1,R-BTA-1605614
315,R-BTA-1605717,Substrate,1,R-ALL-1605610
316,R-BTA-1605717,Product,1,R-BTA-1605600
317,R-BTA-1605723,Substrate,1,R-ALL-1605590
318,R-BTA-1605723,Substrate,1,R-ALL-29356
319,R-BTA-1605723,Product,1,R-ALL-428633
320,R-BTA-1605723,Product,1,R-ALL-1605647
321,R-BTA-1605724,Substrate,1,R-ALL-1605715
322,R-BTA-1605724,Substrate,1,R-ALL-1605641
323,R-BTA-1605724,Product,1,R-ALL-1605601
324,R-BTA-1605724,Product,1,R-ALL-428639
325,R-BTA-1605736,Substrate,1,R-ALL-1605716
326,R-BTA-1605736,Substrate,1,R-ALL-1605715
327,R-BTA-1605736,Product,1,R-ALL-1605637
328,R-BTA-1605736,Product,1,R-ALL-1605601
329,R-BTA-1605768,Substrate,1,R-ALL-29356
330,R-BTA-1605768,Substrate,1,R-ALL-1605649
