,ID,name1,ChEBI,shortname,isLipid,Abbreviation,FixedChain
0,R-ALL-77358,"(3Z,6Z)-dodecadienoyl-CoA",28002,"cis,cis-3,6-Dodecadienoyl-CoA [mitochondrial matrix]",1.0,ACoA,
1,R-ALL-77360,"(2-trans,6-cis)-dodeca-2,6-dienoyl-CoA",28387,"trans,cis-Lauro-2,6-dienoyl-CoA  [mitochondrial matrix]",1.0,ACoA,
2,R-ALL-113596,FAD,16238,FAD [mitochondrial matrix],0.0,,
3,R-ALL-109986,cis-dec-4-enoyl-CoA,29140,4-cis-decenoyl-CoA [mitochondrial matrix],1.0,ACoA,
4,R-ALL-109990,"(2E,4Z)-deca-2,4-dienoyl-CoA",29119,2-trans-4-cis-decadienoyl-CoA [mitochondrial matrix],1.0,ACoA,
5,R-ALL-31649,FADH2,17877,FADH2 [mitochondrial matrix],0.0,,
6,R-ALL-109994,trans-dec-3-enoyl-CoA,29126,3-trans-decenoyl-CoA [mitochondrial matrix],1.0,ACoA,
7,R-ALL-77343,trans-dec-2-enoyl-CoA,10723,tdec2-CoA [mitochondrial matrix],1.0,ACoA,
8,R-ALL-113534,dioxygen,15379,O2 [endoplasmic reticulum lumen],0.0,,
9,R-ALL-140356,arachidonic acid,15843,ARA [endoplasmic reticulum lumen],1.0,NEFA,
10,R-ALL-140357,prostaglandin G2,27647,PGG2 [endoplasmic reticulum lumen],1.0,NEFA,
11,R-ALL-156540,hydron,15378,H+ [endoplasmic reticulum lumen],0.0,,
12,R-ALL-76342,electron,10545,e- [endoplasmic reticulum lumen],0.0,,
13,R-ALL-113519,water,15377,H2O [endoplasmic reticulum lumen],0.0,,
14,R-ALL-30138,prostaglandin H2,15554,PGH2 [endoplasmic reticulum lumen],1.0,NEFA,
15,R-ALL-1449656,11-deoxycorticosterone,16973,11DCORST [extracellular region],1.0,NEFA,
16,R-ALL-1449706,cortisol,17650,CORT [extracellular region],0.0,,
17,R-ALL-1449667,progesterone,17026,P4 [extracellular region],1.0,ST,
18,R-ALL-1449669,aldosterone,27584,ALDO [extracellular region],1.0,ST,
19,R-BTA-1449658,SERPINA6 [extracellular region],UniProtE1BF81,SERPINA6,0.0,,
20,R-ALL-1500578,acyl-CoA,17984,acyl-CoA [cytosol],1.0,ACoA,
21,R-ALL-975614,2-acyl-sn-glycero-3-phosphocholine(1+),16728,2-acyl LPC [endoplasmic reticulum membrane],1.0,LPC,
22,R-ALL-426925,"1,2-diacyl-sn-glycero-3-phosphocholine(1+)",16110,PC [endoplasmic reticulum membrane],1.0,PC,
23,R-ALL-76194,coenzyme A,15346,CoA-SH [cytosol],0.0,,
24,R-ALL-1498740,1-acyl-sn-glycero-3-phosphoglycerol,62747,1-acyl LPG [endoplasmic reticulum membrane],1.0,LPG,
25,R-ALL-1483256,phosphatidylglycerol,17517,PG [endoplasmic reticulum membrane],1.0,PG,
26,R-ALL-1498728,2-monoglyceride,17389,2-MAG [endoplasmic reticulum membrane],1.0,MAG,
27,R-ALL-29356,water,15377,H2O [cytosol],0.0,,
28,R-ALL-1500593,fatty acid,35366,fatty acid [endoplasmic reticulum membrane],1.0,NEFA,
29,R-ALL-76116,glycerol,17754,Glycerol [cytosol],0.0,,
30,R-ALL-1524047,2-acyl-sn-glycero-3-phosphoglycerol,27923,2-acyl LPG [mitochondrial inner membrane],1.0,LPG,
31,R-ALL-1524038,acyl-CoA,17984,acyl-CoA [mitochondrial matrix],,ACoA,
32,R-ALL-29374,coenzyme A,15346,CoA-SH [mitochondrial matrix],,,
33,R-ALL-1524042,phosphatidylglycerol,17517,PG [mitochondrial inner membrane],,PG,
34,R-ALL-1524028,1-O-acyl-sn-glycero-3-phosphocholine(1+),17504,1-acyl LPC [endoplasmic reticulum membrane],,LPC,
35,R-ALL-1500580,1-acyl-sn-glycerol 3-phosphate,16975,1-acyl LPA [mitochondrial outer membrane],,LPA,
36,R-ALL-1500590,phosphatidic acid,16337,PA [mitochondrial outer membrane],,PA,
37,R-ALL-1498733,1-acyl-sn-glycero-3-phospho-D-myo-inositol,28914,1-acyl LPI [endoplasmic reticulum membrane],,LPI,
38,R-ALL-426639,1-phosphatidyl-1D-myo-inositol,16749,PI [endoplasmic reticulum membrane],,PI,
39,R-ALL-1524103,long-chain fatty acid anion,57560,LCFA(-) [mitochondrial outer membrane],,NEFA,
40,R-ALL-1498750,choline alfoscerate,16870,GPCho [cytosol],,,
41,R-ALL-1524021,long-chain fatty acid anion,57560,LCFA(-) [endoplasmic reticulum membrane],,NEFA,
42,R-ALL-1498737,2-acyl-sn-glycero-3-phospho-D-myo-inositol,62746,2-acyl LPI [endoplasmic reticulum membrane],,LPI,
43,R-ALL-1498730,2-acyl-sn-glycero-3-phosphoglycerol,27923,2-acyl LPG [endoplasmic reticulum membrane],,LPG,
44,R-ALL-1498724,1-acyl-sn-glycero-3-phosphoserine,52603,1-acyl LPS [endoplasmic reticulum membrane],,LPS,
45,R-ALL-1500646,phosphatidyl-L-serine,18303,PS [endoplasmic reticulum membrane],,PS,
46,R-ALL-1498729,2-acyl-sn-glycero-3-phosphoethanolamine,28936,2-acyl LPE [endoplasmic reticulum membrane],,LPE,
47,R-ALL-1500581,phosphatidylethanolamine,16038,PE [endoplasmic reticulum membrane],,PE,
48,R-ALL-1500596,"1,2-diacyl-sn-glycerol",17815,DAG [endoplasmic reticulum membrane],,DAG,
49,R-ALL-1500594,triglyceride,17855,TAG [endoplasmic reticulum membrane],,TAG,
50,R-ALL-426755,phosphatidic acid,16337,PA [endoplasmic reticulum membrane],,PA,
51,R-ALL-1500604,1-acyl-sn-glycerol 3-phosphate,16975,1-acyl LPA [cytosol],,LPA,
52,R-ALL-1498738,1-acyl-sn-glycero-3-phosphoethanolamine,29017,1-acyl LPE [endoplasmic reticulum membrane],,LPE,
53,R-ALL-1524027,1-acyl-sn-glycero-3-phosphoglycerol,62747,1-acyl LPG [mitochondrial inner membrane],,LPG,
54,R-ALL-1498722,2-acyl-sn-glycero-3-phosphoserine,37646,2-acyl LPS [endoplasmic reticulum membrane],,LPS,
55,R-ALL-76114,sn-glycerol 3-phosphate,15978,G3P [cytosol],,,
56,R-ALL-113521,water,15377,H2O [mitochondrial matrix],,,
57,R-ALL-1524085,long-chain fatty acid anion,57560,LCFA(-) [mitochondrial inner membrane],,NEFA,
58,R-ALL-1524075,"1,2-diacyl-sn-glycero-3-phosphocholine(1+)",16110,PC [mitochondrial inner membrane],,PC,
59,R-ALL-1498773,2-monolysocardiolipin,60430,MLCL [mitochondrial inner membrane],,MLCL,
60,R-ALL-1524072,cardiolipin,28494,cardiolipin [mitochondrial inner membrane],,CL,
61,R-ALL-1524079,1-O-acyl-sn-glycero-3-phosphocholine(1+),17504,1-acyl LPC [mitochondrial inner membrane],,LPC,
62,R-ALL-1524083,phosphatidylethanolamine,16038,PE [mitochondrial inner membrane],,PE,
63,R-ALL-1524089,1-acyl-sn-glycero-3-phosphoethanolamine,29017,1-acyl LPE [mitochondrial inner membrane],,LPE,
64,R-ALL-1524069,2-monolysocardiolipin,60430,MLCL [endoplasmic reticulum membrane],,MLCL,
65,R-ALL-1524081,cardiolipin,28494,CL [endoplasmic reticulum membrane],,CL,
66,R-ALL-1524080,"2,2'-dilysocardiolipin",60431,DLCL [endoplasmic reticulum membrane],,DLCL,
67,R-ALL-1500603,CDP-ethanolamine,16732,CDP-ETA [cytosol],,,
68,R-ALL-109395,cytidine 5'-monophosphate,17361,CMP [cytosol],,,
69,R-ALL-426955,CDP-diacylglycerol,17962,CDP-DAG [endoplasmic reticulum membrane],,CDPDAG,
70,R-ALL-426910,myo-inositol,17268,Ins [cytosol],,,
71,R-ALL-264618,choline,15354,Cho [cytosol],,,
72,R-ALL-113592,ATP(4-),30616,ATP [cytosol],,,
73,R-ALL-29370,ADP(3-),456216,ADP [cytosol],,,
74,R-ALL-1524071,phosphocholines,36700,PCho [cytosol],,,
75,R-ALL-1524064,CDP-diacylglycerol,17962,CDP-DAG [mitochondrial inner membrane],,CDPDAG,
76,R-ALL-1524067,cytidine 5'-monophosphate,17361,cytidine 5'-monophosphate [mitochondrial matrix],,,
77,R-ALL-200736,L-serine zwitterion,33384,L-Ser [cytosol],,,
78,R-ALL-1498751,ethanolamine,16000,ETA [cytosol],,,
79,R-ALL-428686,O-phosphoethanolamine,17553,PETA [cytosol],,,
