,merged_reaction,reaction_type,reaction_notes,merged_ids,reaction_IDs
0,1 ACoA <=> 1 ACoA,FFA_modify,,R-ALL-77358 <=> R-ALL-77360,R-BTA-109338;R-CFA-109338;R-DME-109338;R-DRE-109338;R-GGA-109338;R-HSA-109338;R-MMU-109338;R-RNO-109338;R-SSC-109338;R-XTR-109338
1,1 FAD [mitochondrial matrix] + 1 ACoA <=> 1 ACoA + 1 FADH2 [mitochondrial matrix],FFA_modify,,R-ALL-113596 + R-ALL-109986 <=> R-ALL-109990 + R-ALL-31649,R-BTA-109341;R-CEL-109341;R-CFA-109341;R-DME-109341;R-DRE-109341;R-GGA-109341;R-HSA-109341;R-MMU-109341;R-RNO-109341;R-SSC-109341;R-XTR-109341
2,1 ACoA <=> 1 ACoA,FFA_modify,,R-ALL-109994 <=> R-ALL-77343,R-BTA-109998;R-CFA-109998;R-DME-109998;R-DRE-109998;R-GGA-109998;R-HSA-109998;R-MMU-109998;R-RNO-109998;R-SSC-109998;R-XTR-109998
3,2 O2 [endoplasmic reticulum lumen] + 1 ACoA <=> 1 ACoA,FFA_modify,,R-ALL-113534 + R-ALL-140356 <=> R-ALL-140357,R-BTA-140355;R-BTA-2309787;R-CFA-140355;R-CFA-2309787;R-DRE-140355;R-DRE-2309787;R-GGA-140355;R-HSA-140355;R-HSA-2309787;R-MMU-140355;R-MMU-2309787;R-RNO-140355;R-RNO-2309787;R-SSC-140355;R-SSC-2309787;R-XTR-140355;R-XTR-2309787
4,2 H+ [endoplasmic reticulum lumen] + 2 e- [endoplasmic reticulum lumen] + 1 ACoA <=> 1 H2O [endoplasmic reticulum lumen] + 1 ACoA,FFA_modify,,R-ALL-156540 + R-ALL-76342 + R-ALL-140357 <=> R-ALL-113519 + R-ALL-30138,R-BTA-140359;R-BTA-2309773;R-CFA-140359;R-CFA-2309773;R-DRE-140359;R-DRE-2309773;R-GGA-140359;R-HSA-140359;R-HSA-2309773;R-MMU-140359;R-MMU-2309773;R-RNO-140359;R-RNO-2309773;R-SSC-140359;R-SSC-2309773;R-XTR-140359;R-XTR-2309773
5,NA + 1 SERPINA6 <=> NA,,,R-ALL-1449707 + R-BTA-1449658 <=> R-BTA-1449677,R-BTA-1449687
6,1 ACoA + 1 LPC <=> 1 PC + 1 CoA-SH [cytosol],L_FAdelete,,R-ALL-1500578 + R-ALL-975614 <=> R-ALL-426925 + R-ALL-76194,R-BTA-1482533;R-CEL-1482533;R-CFA-1482533;R-DDI-1482533;R-DME-1482533;R-DRE-1482533;R-GGA-1482533;R-HSA-1482533;R-MMU-1482533;R-PFA-1482533;R-RNO-1482533;R-SCE-1482533;R-SPO-1482533;R-SSC-1482533;R-XTR-1482533
7,1 ACoA + 1 LPG <=> 1 PG + 1 CoA-SH [cytosol],L_FAdelete,,R-ALL-1500578 + R-ALL-1498740 <=> R-ALL-1483256 + R-ALL-76194,R-BTA-1482539;R-CEL-1482539;R-CFA-1482539;R-DDI-1482539;R-DME-1482539;R-DRE-1482539;R-GGA-1482539;R-HSA-1482539;R-MMU-1482539;R-PFA-1482539;R-RNO-1482539;R-SCE-1482539;R-SPO-1482539;R-SSC-1482539;R-XTR-1482539
8,1 MAG + 1 H2O [cytosol] <=> 1 NEFA + 1 Glycerol [cytosol],L_FAdelete,,R-ALL-1498728 + R-ALL-29356 <=> R-ALL-1500593 + R-ALL-76116,R-BTA-1482543;R-CFA-1482543;R-DRE-1482543;R-GGA-1482543;R-HSA-1482543;R-MMU-1482543;R-RNO-1482543;R-SSC-1482543;R-XTR-1482543
9,1 LPG + 1 ACoA <=> 1 CoA-SH [mitochondrial matrix] + 1 PG,L_FAdelete,,R-ALL-1524047 + R-ALL-1524038 <=> R-ALL-29374 + R-ALL-1524042,R-BTA-1482546;R-CEL-1482546;R-CFA-1482546;R-DME-1482546;R-DRE-1482546;R-GGA-1482546;R-HSA-1482546;R-MMU-1482546;R-RNO-1482546;R-SCE-1482546;R-SPO-1482546;R-SSC-1482546;R-XTR-1482546
10,1 LPC + 1 ACoA <=> 1 PC + 1 CoA-SH [cytosol],L_FAdelete,,R-ALL-1524028 + R-ALL-1500578 <=> R-ALL-426925 + R-ALL-76194,R-BTA-1482547;R-CEL-1482547;R-CFA-1482547;R-DDI-1482547;R-DME-1482547;R-DRE-1482547;R-GGA-1482547;R-HSA-1482547;R-MMU-1482547;R-PFA-1482547;R-RNO-1482547;R-SCE-1482547;R-SPO-1482547;R-SSC-1482547;R-XTR-1482547
11,1 ACoA + 1 LPA <=> 1 PA + 1 CoA-SH [cytosol],L_FAdelete,,R-ALL-1500578 + R-ALL-1500580 <=> R-ALL-1500590 + R-ALL-76194,R-BTA-1482548;R-CEL-1482548;R-CFA-1482548;R-DRE-1482548;R-GGA-1482548;R-HSA-1482548;R-MMU-1482548;R-RNO-1482548;R-SSC-1482548;R-XTR-1482548
12,1 LPI + 1 ACoA <=> 1 PI + 1 CoA-SH [cytosol],L_FAdelete,,R-ALL-1498733 + R-ALL-1500578 <=> R-ALL-426639 + R-ALL-76194,R-BTA-1482598;R-CEL-1482598;R-CFA-1482598;R-DDI-1482598;R-DME-1482598;R-DRE-1482598;R-HSA-1482598;R-MMU-1482598;R-RNO-1482598;R-SCE-1482598;R-SPO-1482598;R-SSC-1482598;R-XTR-1482598
