,ReactionID,Participation,Stiochiometry,MoleculeID
0,RHEA:64852,Substrate,1,CHEBI:57369
1,RHEA:64852,Substrate,1,CHEBI:16188
2,RHEA:64852,Product,1,CHEBI:57287
3,RHEA:64852,Product,1,CHEBI:156236
4,RHEA:64844,Substrate,1,CHEBI:57369
5,RHEA:64844,Substrate,1,CHEBI:17447
6,RHEA:64844,Product,1,CHEBI:57287
7,RHEA:64844,Product,1,CHEBI:156234
8,RHEA:64732,Substrate,1,CHEBI:15379
9,RHEA:64732,Substrate,1,CHEBI:77016
10,RHEA:64732,Product,1,CHEBI:156131
11,RHEA:64728,Substrate,1,CHEBI:156049
12,RHEA:64728,Substrate,1,CHEBI:15379
13,RHEA:64728,Product,1,CHEBI:140349
14,RHEA:64724,Substrate,1,CHEBI:156049
15,RHEA:64724,Substrate,1,CHEBI:15379
16,RHEA:64724,Product,1,CHEBI:156082
17,RHEA:64668,Substrate,1,CHEBI:15379
18,RHEA:64668,Substrate,1,CHEBI:77016
19,RHEA:64668,Product,1,CHEBI:156049
20,RHEA:64660,Substrate,1,CHEBI:57560
21,RHEA:64660,Substrate,1,CHEBI:30616
22,RHEA:64660,Substrate,1,CHEBI:64479
23,RHEA:64660,Product,1,CHEBI:133243
24,RHEA:64660,Product,1,CHEBI:456215
25,RHEA:64660,Product,1,CHEBI:33019
26,RHEA:64600,Substrate,1,CHEBI:155932
27,RHEA:64600,Substrate,1,CHEBI:57880
28,RHEA:64600,Product,1,CHEBI:155933
29,RHEA:64600,Product,1,CHEBI:17815
30,RHEA:64592,Substrate,1,CHEBI:155929
31,RHEA:64592,Substrate,1,CHEBI:57880
32,RHEA:64592,Product,1,CHEBI:144720
33,RHEA:64592,Product,1,CHEBI:17815
34,RHEA:64580,Substrate,1,CHEBI:60374
35,RHEA:64580,Substrate,1,CHEBI:128769
36,RHEA:64580,Product,1,CHEBI:33019
37,RHEA:64580,Product,1,CHEBI:139032
38,RHEA:64572,Substrate,1,CHEBI:57665
39,RHEA:64572,Substrate,1,CHEBI:128769
40,RHEA:64572,Product,1,CHEBI:60374
41,RHEA:64572,Product,1,CHEBI:33019
42,RHEA:64388,Substrate,1,CHEBI:13193
43,RHEA:64388,Substrate,1,CHEBI:152569
44,RHEA:64388,Product,1,CHEBI:17499
45,RHEA:64388,Product,1,CHEBI:57677
46,RHEA:64380,Substrate,1,CHEBI:13193
47,RHEA:64380,Substrate,1,CHEBI:75434
48,RHEA:64380,Product,1,CHEBI:58756
49,RHEA:64380,Product,1,CHEBI:17499
50,RHEA:64376,Substrate,1,CHEBI:13193
51,RHEA:64376,Substrate,1,CHEBI:138139
52,RHEA:64376,Product,1,CHEBI:138140
53,RHEA:64376,Product,1,CHEBI:17499
54,RHEA:64364,Substrate,1,CHEBI:82629
55,RHEA:64364,Product,1,CHEBI:152564
56,RHEA:64348,Substrate,1,CHEBI:149709
57,RHEA:64348,Substrate,1,CHEBI:15378
58,RHEA:64348,Product,1,CHEBI:149710
59,RHEA:64340,Substrate,1,CHEBI:149707
60,RHEA:64340,Substrate,1,CHEBI:175763
61,RHEA:64340,Product,1,CHEBI:149708
62,RHEA:64340,Product,1,CHEBI:33019
63,RHEA:64308,Substrate,1,CHEBI:150018
64,RHEA:64308,Substrate,1,CHEBI:15361
65,RHEA:64308,Product,1,CHEBI:57972
66,RHEA:64308,Product,1,CHEBI:13705
67,RHEA:64220,Substrate,1,CHEBI:15377
68,RHEA:64220,Substrate,1,CHEBI:132060
69,RHEA:64220,Product,1,CHEBI:507393
70,RHEA:64220,Product,1,CHEBI:32395
71,RHEA:64004,Substrate,1,CHEBI:77636
72,RHEA:64004,Substrate,1,CHEBI:64124
73,RHEA:64004,Product,1,CHEBI:57287
74,RHEA:64004,Product,1,CHEBI:15378
