ID,RHEA_ID,GeneName
A0A0D4WTV1,RHEA:60700,
A0A0D4WTV1,RHEA:60700,
A0A0D4WTV1,RHEA:60700,
A0A0D4WTV1,RHEA:60700,
A0A0D4WTV1,RHEA:60700,
A0A0D4WTV1,RHEA:60704,
A0A0D4WTV1,RHEA:60704,
A0A0D4WTV1,RHEA:60704,
A0A0D4WTV1,RHEA:60704,
A0A0D4WTV1,RHEA:60704,
A0A0D4WV12,RHEA:60704,
A0A0D4WV12,RHEA:60704,
A0A0D4WV12,RHEA:60704,
A0A0D4WV12,RHEA:60704,
A0A0D4WV12,RHEA:60704,
A0A0G2JXT6,RHEA:12316,Mtmr6
A0A0G2JXT6,RHEA:12316,Mtmr6
A0A0G2JXT6,RHEA:12316,Mtmr6
A0A0G2JXT6,RHEA:12316,Mtmr6
A0A0G2JXT6,RHEA:12316,Mtmr6
A0A0G2JXT6,RHEA:39019,Mtmr6
A0A0G2JXT6,RHEA:39019,Mtmr6
A0A0G2JXT6,RHEA:39019,Mtmr6
A0A0G2JXT6,RHEA:39019,Mtmr6
A0A0G2JXT6,RHEA:39019,Mtmr6
A0A0G2K1Q8,RHEA:39051,Abca3
A0A0G2K1Q8,RHEA:39051,Abca3
A0A0G2K1Q8,RHEA:39051,Abca3
A0A0G2K1Q8,RHEA:39051,Abca3
A0A0G2K1Q8,RHEA:39051,Abca3
A0A0G2K344,RHEA:12709,Pik3ca
A0A0G2K344,RHEA:12709,Pik3ca
A0A0G2K344,RHEA:12709,Pik3ca
A0A0G2K344,RHEA:12709,Pik3ca
A0A0G2K344,RHEA:12709,Pik3ca
A0A0G2K344,RHEA:21292,Pik3ca
A0A0G2K344,RHEA:21292,Pik3ca
A0A0G2K344,RHEA:21292,Pik3ca
A0A0G2K344,RHEA:21292,Pik3ca
A0A0G2K344,RHEA:21292,Pik3ca
A0A0P0WY03,RHEA:10868,DGAT1-
A0A0P0WY03,RHEA:10868,DGAT1-
A0A0P0WY03,RHEA:10868,DGAT1-
A0A0P0WY03,RHEA:10868,DGAT1-
