,ID,name1,ChEBI,shortname,isLipid,Abbreviation,FixedChain
0,SLM:000000403,Monoacylglycerol,CHEBI:17408,MAG,1,MAG,
1,SLM:000000984,Fatty acids,CHEBI:28868,NEFA,0,NEFA,
2,SLM:000000972,Glucosyl ceramide (d18:1(4E)),CHEBI:22801,HexCer,1,HexCer,
3,SLM:000000413,Ceramide (d18:1(4E)),CHEBI:52639,Cer,1,Cer,
4,SLM:000000329,"1,2-diacyl-sn-glycero-3-phosphate",CHEBI:58608,PA,1,PA,
5,SLM:000000378,N-acylethanolamines,CHEBI:52640,NAE,0,NAE,
6,SLM:000000333,1-acyl-sn-glycero-3-phosphate,CHEBI:57970,LPA,1,LPA,
7,SLM:000000149,N-hexadecanoyl-ethanolamine,CHEBI:71464,NAE,0,NAE,
8,SLM:000399814,Ceramide,CHEBI:83273,Cer,1,Cer,
9,SLM:000501326,Fatty acid methyl esters,CHEBI:4986,NEFA,0,NEFA,
10,SLM:000390097,Sphingoid bases,CHEBI:84410,LCB,1,LCB,
11,SLM:000000249,Fatty acyl-CoAs,CHEBI:58342,ACoA,0,ACoA,
12,SLM:000000507,"2-(5Z,8Z,11Z,14Z)-eicosatetraenoylglycerol",CHEBI:52392,MAG,1,MAG,20:4
13,SLM:000000296,"(5Z,8Z,11Z,14Z)-eicosatetraenoate",CHEBI:32395,NEFA,0,NEFA,
14,SLM:000000309,squalene,CHEBI:15440,,0,,
15,SLM:000000401,Diacylglycerol,CHEBI:18035,DAG,1,DAG,
16,SLM:000000102,Cardiolipins,CHEBI:62237,CL,1,CL,
17,SLM:000000362,Monolysocardiolipins,CHEBI:64743,MLCL,1,MLCL,
18,SLM:000000354,1-acyl-sn-glycero-3-phosphoethanolamine,CHEBI:64381,LPE,1,LPE,
19,SLM:000000335,1-acyl-sn-glycero-3-phospho-L-serine,CHEBI:64379,LPS,1,LPS,
20,SLM:000000324,"1,2-diacyl-sn-glycero-3-phospho-1D-myo-inositol",CHEBI:57880,PI,1,PI,
21,SLM:000000285,Ceramide (d18:0),CHEBI:31488,Cer,1,Cer,18:0
22,SLM:000000262,"1,2-diacyl-sn-glycerol",CHEBI:17815,DAG,1,DAG,
23,SLM:000000390,Ceramide phosphoinositol (d18:0),CHEBI:64941,IPC,1,IPC,18:0
24,SLM:000000035,sphinganine,CHEBI:57817,LCB,1,LCB,
25,SLM:000000323,Ceramide (t18:0),CHEBI:31998,Cer,1,Cer,18:0
26,SLM:000000386,4-hydroxysphinganine,CHEBI:64124,LCB,1,LCB,
27,SLM:000000261,"1,2-diacyl-sn-glycero-3-phosphocholine",CHEBI:57643,PC,1,PC,
28,SLM:000390174,2-glyceryl-prostaglandin G2,CHEBI:85165,NEFA,0,NEFA,
29,SLM:000508850,sn-glycero-3-phospho-N-acylethanolamine,CHEBI:85225,NAE,0,NAE,
30,SLM:000390114,"sn-glycero-3-phospho-N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-ethanolamine",CHEBI:85230,NAE,0,NAE,
31,SLM:000000294,"N-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-ethanolamine",CHEBI:2700,NAE,0,NAE,
32,SLM:000390112,sn-glycero-3-phospho-N-(9Z-octadecenoyl)-ethanolamine,CHEBI:85229,NAE,0,NAE,
33,SLM:000000147,N-(9Z-octadecenoyl)-ethanolamine,CHEBI:71466,NAE,0,NAE,
34,SLM:000390117,"sn-glycero-3-phospho-N-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-ethanolamine",CHEBI:85250,NAE,0,NAE,
35,SLM:000390118,"N-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-ethanolamine",CHEBI:85252,NAE,0,NAE,
36,SLM:000399706,Ceramide phosphoethanolamine,CHEBI:73202,EPC,1,EPC,
37,SLM:000001196,hexanoate,CHEBI:17120,NEFA,0,NEFA,
38,SLM:000000826,octadecanoate,CHEBI:25629,NEFA,0,NEFA,
39,SLM:000782223,"Ceramide (d18:2(4E,14Z))",CHEBI:139573,Cer,1,Cer,18:2
40,SLM:000399705,Ceramide phosphate,CHEBI:84404,CerP,1,CerP,17:1
41,SLM:000000002,Ceramide (iso-d17:1(4E)),CHEBI:70846,Cer,1,Cer,17:1
42,SLM:000000007,Sphingomyelin (iso-d17:1(4E)),CHEBI:70775,SM,1,SM,17:1
