From	To
P07882	Cel
P19835	CEL
P30122	CEL
P34163	TGL1
P38571	LIPA
Q07804	YEH1
Q07950	YEH2
Q4R4S5	LIPA
Q64194	Lipa
Q64285	Cel
Q9Z0M5	Lipa
A0JN54	DGKA
A5IU64	dagK
A6QIC6	dagK
A6U302	dagK
A7X424	dagK
A8JQ65	CG34384
A8Z2R1	dagK
B3LXF2	GF18176
B3NYS4	GG14241
B4I4Y1	GM10981
B4JHJ7	GH18973
B4K6T8	GI24133
B4PRE2	GE24946
B4R0A5	GD19954
B9DMT6	dagK
D3YWQ0	Dgki
D3YXJ0	Dgkh
D3ZEY4	Dgkq
E9PUQ8	Dgkd
F1MAB7	Dgki
F4JKI3	DGK6
F4JQ95	DGK7
O08560	Dgkz
O31502	dagK
O75912	DGKI
O88673	Dgka
P0ABN1	dgkA
P0ABN2	dgkA
P0ABN3	dgkA
P0ABN4	dgkA
P20192	DGKA
P23743	DGKA
P29945	dgkA
P34125	dgkA
P44424	dgkA
P49619	DGKG
P49620	Dgkg
P49621	Dgkb
P51556	Dgka
P52429	DGKE
P52824	DGKQ
P56411	dgkA
P9WP28	dagK
P9WP29	dagK
Q01583	Dgk
Q03603	dgk-
Q06119	dgkA
Q09103	rdgA
Q10024	dgk-
Q13574	DGKZ
Q16760	DGKD
Q1PDI2	DGK4
Q2FFJ7	dagK
Q2FWZ2	dagK
Q2YU29	dagK
Q39017	DGK1
Q49YU2	dagK
Q4L7L1	dagK
Q53H12	AGK
Q55143	dgkA
Q5HEM4	dagK
Q5HN36	dagK
Q5KSL6	DGKK
Q5RED7	AGK
Q64398	DGKH
Q6G835	dagK
Q6GFF9	dagK
Q6NS52	Dgkb
Q6P5E8	Dgkq
Q7A0H3	dagK
Q7A4Q8	dagK
Q7XQT2	DGK1
Q7ZW00	agk
Q7ZYJ3	agk
Q80UP3	Dgkz
Q86XP1	DGKH
Q8CRU5	dagK
Q8VZG1	DGK3
Q91WG7	Dgkg
Q99SY8	dagK
Q9C5E5	DGK5
Q9ESW4	Agk
Q9FFN7	DGK2
Q9HY23	dgkA
Q9R1C6	Dgke
Q9Y6T7	DGKB
Q9ZLE0	dgkA
A1AF47	aas
A1JPF0	aas
A4TLD3	aas
A4WE11	aas
A6TDH2	aas
A7FFD1	aas
A7MR36	aas
A7ZQU2	aas
A8A3X0	aas
A8AP56	aas
A9N3H8	aas
A9R2S1	aas
B1IU08	aas
B1JQC1	aas
B1LR34	aas
B1XDP2	aas
B2JZ75	aas
B2TYQ5	aas
B2VFS7	aas
B4T503	aas
B4TGR5	aas
B4TUM9	aas
B5BFH6	aas
B5F4V4	aas
B5FUB9	aas
B5QWU2	aas
B5RDY6	aas
B5XUP2	aas
B5Z4F4	aas
B6I6W1	aas
B7LF13	aas
B7LNJ2	aas
B7MLI2	aas
B7N768	aas
B7NVY2	aas
B7UHQ4	aas
C0PXJ8	aas
C4ZZY9	aas
C6DE43	aas
P31119	aas
Q0T128	aas
Q0TDZ6	aas
Q1CAS8	aas
Q1R7H5	aas
Q3YY21	aas
Q57KA7	aas
Q5PEN7	aas
Q667F1	aas
Q6D107	aas
Q74RZ6	aas
Q7N7A9	aas
Q83JV7	aas
Q8FEA6	aas
Q8X6J8	aas
Q8Z406	aas
Q8ZMA4	aas
P0C1Q3	Lpcat2
Q1HAQ0	Lpcat1
Q1LWG4	lpcat1
Q3TFD2	Lpcat1
Q502J0	lpcat2
Q7L5N7	LPCAT2
Q8BYI6	Lpcat2
Q8L7R3	LPEAT1
Q8NF37	LPCAT1
Q8S8S2	LPEAT2
Q6DW73	DGD2
Q6DW74	DGD1
Q6DW75	DGD2
Q6DW76	DGD1
Q8W1S1	DGD2
Q9S7D1	DGD1
P06200	plcH
P09598	plc
P09978	hlb
P0A5R9	plcD
P0C216	plc
P15713	plcN
P20419	plc
P33376	cerA
P33378	plcB
P59026	plc
P9WIA8	plcD
P9WIA9	plcD
P9WIB0	plcC
P9WIB1	plcC
P9WIB2	plcB
P9WIB3	plcB
P9WIB4	plcA
P9WIB5	plcA
Q0TV31	plc
Q2FWP1	hlb
Q46150	plc
Q5HEI1	hlb
Q8VUZ6	plc
Q9RF12	plc
Q9RGS8	plcN
Q9S816	NPC5
Q9SRQ7	NPC4
A0PP57	lysX
A0QHC4	lysX
A0QYV1	lysX
A1KJ57	lysX
A1TAC7	lysX
A1UHB3	lysX
A3Q0V0	lysX
A4T9U2	lysX
A5U2Z7	lysX
A5WMW1	lysX
B1MAX9	lysX
B2HR11	lysX
B8ZRJ4	lysX
C0H3X7	mprF
C0ZL89	lysX
C1ANR3	lysX
C1B7Z5	lysX
C6DS31	lysX
D0LB45	lysX
P9WFU6	lysX
P9WFU7	lysX
Q0SAA3	lysX
Q1B7P4	lysX
Q2G2M2	mprF
Q4L667	mprF
Q5HG59	mprF
Q5HPI1	mprF
Q5Z3P6	lysX
Q6G9J9	mprF
Q6GH45	mprF
Q740J9	lysX
Q7A5R9	mprF
Q7VEV7	lysX
Q8CPC0	mprF
Q8NWU7	mprF
Q93QY7	mprF
Q99UB9	mprF
Q9AIV3	mprF
Q9CC23	lysX
O70362	Gpld1
P80108	GPLD1
P80109	GPLD1
Q86AV9	pldG
Q8R2H5	Gpld1
A0A0P0WY03	DGAT1-
A0A161IUT7	DGAT1
A0QU51	fbpB
A1A442	DGAT2
A1KJU9	fbpB
A1KQD8	fbpA
A5U3Q3	fbpB
F4IU14	WSD3
I1MSF2	DGAT1B
K7K424	DGAT2D
K7LC65	DGAT1C
O06052	fbpA
O52956	fbpA
O52972	fbpC
O74850	dga1
O75907	DGAT1
P0A4V5	fbpC
P0A651	BQ2027_MB3154C
P0C2T1	fbpA
P0C2T2	fbpB
P21160	fbpB
P31951	fbpB
P58248	fbpA
P67205	BQ2027_MB0919
P67207	BQ2027_MB2306
P67209	BQ2027_MB3115
P67211	BQ2027_MB3761C
P9WKA2	MT0919
P9WKA3	Rv0895
P9WKA4	MT3848
P9WKA5	Rv3740c
P9WKA6	MT3584
P9WKA7	Rv3480c
P9WKA8	MT3481
P9WKA9	Rv3371
P9WKB0	MT3172
P9WKB1	Rv3087
P9WKB2	MT2557
P9WKB3	Rv2484c
P9WKB4	MT2343
P9WKB5	Rv2285
P9WKB6	MT0231
P9WKB7	Rv0221
P9WKB8	MT1809
P9WKB9	Rv1760
P9WKC0	MT1468
P9WKC1	Rv1425
P9WKC2	tgs4
P9WKC3	tgs4
P9WKC4	tgs3
P9WKC5	tgs3
P9WKC6	tgs2
P9WKC7	tgs2
P9WKC8	tgs1
P9WKC9	tgs1
P9WQN8	fbpC
P9WQN9	fbpC
P9WQP0	fbpB
P9WQP1	fbpB
P9WQP2	fbpA
P9WQP3	fbpA
Q05861	fbpA
Q05862	fbpC
Q06947	fbpB
Q08650	DGA1
Q49575	fbpB
Q4V9F0	dgat2
Q50397	fbpB
Q54GC1	dgat2
Q55BH9	dgat1
Q5FVP8	Dgat2
Q5GKZ7	DGAT1A
Q5I396	DGAT1-
Q5KS41	WSD11
Q6P342	dgat2
Q6PAZ3	dgat2
Q70VZ8	DGAT2
Q75BY0	DGA1
Q86VF5	MOGAT3
Q8GGG1	wax-dgaT
Q8MK44	DGAT1
Q93ZR6	WSD1
Q94CK0	WSD7
Q96PD7	DGAT2
Q96UY1	DGAT2B
Q96UY2	DGAT2A
Q9ASU1	DGAT2
Q9C5W0	DGAT3
Q9C7H4	WSD2
Q9DCV3	Dgat2
Q9ERM3	Dgat1
Q9FFE8	WSD8
Q9FK04	WSD10
Q9FK89	WSD9
Q9GMF1	DGAT1
Q9KH57	fbpA
Q9M3B1	WSD6
Q9M3B2	WSD5
Q9M3B3	WSD4
Q9SLD2	DGAT1
Q9Z2A7	Dgat1
P79106	PAFAH2
P83006	Pafah2
Q8VDG7	Pafah2
Q99487	PAFAH2
A1C7T5	cho2
A1DIF7	CHO2
A2R616	cho2
A3LQW6	CHO2
A4RHN5	CHO2
A5DL79	CHO2
A5DS78	CHO2
A6S950	CHO2
A6ZUG8	CHO2
A7TLA7	CHO2-
A7TNI7	CHO2-
A8PRN6	CHO2
B0D4E6	CHO2
B0XUW3	cho2
B2B2N5	CHO2
B2WFD4	cho2
B3LI73	CHO2
B5VJA0	CHO2
B6HJA3	cho2
B6JWP7	cho2
B6QG32	cho2
B8MBN3	cho2
B8N6H2	cho2
B9WL59	CHO2
C0NLX2	CHO2
C0RZV6	CHO2
C1G565	CHO2
C1GZK1	CHO2
C4JDF8	CHO2
C4QXE9	CHO2
C4Y206	CHO2
C4YL78	CHO2
C5DGB6	CHO2
C5DZU3	CHO2
C5FZ62	CHO2
C5GN10	CHO2
C5JCV0	CHO2
C5M4D4	CHO2
C5PEI5	CHO2
C6H4B5	CHO2
C7GQ65	CHO2
C7Z7C3	CHO2
C8Z951	CHO2
D1ZIW5	CHO2
D4AT37	CHO2
D4DGR3	CHO2
O74787	cho2
P05374	CHO2
P05375	OPI3
Q05197	pmtA
Q08388	Pemt
Q0CVD7	cho2
Q0U2R3	CHO2
Q2H0U8	CHO2
Q2UDE5	cho2
Q4WZS1	cho2
Q54H80	pemtB
Q54SD5	pemtA
Q59LV5	CHO2
Q5BBC6	choA
Q61907	Pemt
Q6BY28	CHO2
Q6C6U9	CHO2
Q6CJI9	CHO2
Q6FVB6	CHO2
Q754G0	CHO2
Q7SAJ6	chol-
Q7YRH6	PEMT
Q9UBM1	PEMT
A7LB59	STO-B
A7LB60	STO-A
P0DKC5	HSD1
P0DKC6	HSD1
P16232	Hsd11b1
P28845	HSD11B1
P50172	Hsd11b1
P51975	HSD11B1
Q29608	HSD11B1
Q6QLL4	HSD11B1
Q6R0J2	HSD11B1
Q7M3I4	HSD11B1
Q8LKV5	SOP3
Q93W57	SOP2
O14735	CDIPT
P06197	PIS1
P70500	Cdipt
Q10153	pis1
