,merged_reaction,reaction_type,reaction_notes,merged_ids,reaction_IDs
0,1 water + 1 MAG  <=> 1 glycerol + 1 hydron + 1 NEFA,L_FAdelete,,CHEBI:15377 + CHEBI:17408 <=> CHEBI:17754 + CHEBI:15378 + CHEBI:28868,RHEA:15245
1,1 25-acyl-27-norcholesterol + 1 HexCer  <=> 1 25-acyl-27-norcholesteryl beta-D-glucoside + 1 Cer,L_HGdelete,,CHEBI:142575 + CHEBI:22801 <=> CHEBI:142576 + CHEBI:52639,RHEA:58320
2,1 primary alcohol + 1 NADP(3-) <=> 1 aldehyde + 1 hydron + 1 NADPH(4-),,,CHEBI:15734 + CHEBI:58349 <=> CHEBI:17478 + CHEBI:15378 + CHEBI:57783,RHEA:15937
3,"1 1,2-diacyl-3-beta-D-galactosyl-sn-glycerol + 1 water <=> 1 monoacyl-3-O-(beta-D-galactosyl)-sn-glycerol + 1 hydron + 1 NEFA ",L_FAdelete,,CHEBI:17615 + CHEBI:15377 <=> CHEBI:141434 + CHEBI:15378 + CHEBI:28868,RHEA:57084
4,1 water + 1 N-acylphosphatidylethanolamine(1-) <=> 1 hydron + 1 PA  + 1 N-acylethanolamines,L_FAdelete,,CHEBI:15377 + CHEBI:62537 <=> CHEBI:15378 + CHEBI:58608 + CHEBI:52640,RHEA:33159
5,1 water + 1 N-acyllysophosphatidylethanolamine(1-) <=> 1 hydron + 1 LPA  + 1 N-acylethanolamines,L_FAdelete,,CHEBI:15377 + CHEBI:85216 <=> CHEBI:15378 + CHEBI:57970 + CHEBI:52640,RHEA:53164
6,1 N-hexadecanoyl-1-[(1Z)-octadecenoyl]-2-oleoyl-sn-glycero-3-phosphoethanolamine(1-) + 1 water <=> 1 1-[(1Z)-octadecenyl]-2-oleoyl-sn-glycero-3-phosphate(2-) + 1 hydron + 1 N-hexadecanoyl-ethanolamine,L_FAdelete,,CHEBI:138663 + CHEBI:15377 <=> CHEBI:140452 + CHEBI:15378 + CHEBI:71464,RHEA:56464
7,1 N-acylethanolamine phosphate(2-) + 1 water <=> 1 hydrogenphosphate + 1 N-acylethanolamines,,,CHEBI:145497 + CHEBI:15377 <=> CHEBI:43474 + CHEBI:52640,RHEA:62172
8,1 (2S)-2-hydroxy monocarboxylic acid anion + 1 dioxygen <=> 1 2-oxo monocarboxylic acid anion + 1 hydrogen peroxide,,,CHEBI:58123 + CHEBI:15379 <=> CHEBI:35179 + CHEBI:16240,RHEA:16789
9,1 oligoglycosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide + 1 water <=> 1 oligoglycosyl-(1->4)-beta-D-glucose + 1 Cer,L_HGdelete,,CHEBI:136875 + CHEBI:15377 <=> CHEBI:136873 + CHEBI:83273,RHEA:22288
10,1 ATP(4-) + 1 O-(pantetheine-4'-phosphoryl)serine(1-) residue + 1 NEFA  <=> 1 O-(S-fatty acylpantetheine-4'-phosphoryl)-L-serine(1-) residue + 1 adenosine 5'-monophosphate(2-) + 1 diphosphate(3-),,,CHEBI:30616 + CHEBI:64479 + CHEBI:28868 <=> CHEBI:138651 + CHEBI:456215 + CHEBI:33019,RHEA:22660
11,1 S-adenosyl-L-methionine zwitterion + 1 NEFA  <=> 1 S-adenosyl-L-homocysteine zwitterion + 1 NEFA,,,CHEBI:59789 + CHEBI:28868 <=> CHEBI:57856 + CHEBI:4986,RHEA:23012
12,1 coenzyme A(4-) + 1 hydron + 1 Cer  <=> 1 LCB  + 1 ACoA,L_FAdelete,,CHEBI:57287 + CHEBI:15378 + CHEBI:83273 <=> CHEBI:84410 + CHEBI:58342,RHEA:53424
13,1 water + 1 MAG 20:4 <=> 1 glycerol + 1 hydron + 1 NEFA,L_FAdelete,,CHEBI:15377 + CHEBI:52392 <=> CHEBI:17754 + CHEBI:15378 + CHEBI:32395,RHEA:26132
14,1 water + 1 N-acylethanolamines <=> 1 ethanolaminium(1+) + 1 NEFA,,,CHEBI:15377 + CHEBI:52640 <=> CHEBI:57603 + CHEBI:28868,RHEA:39995
15,1 water + 1 HexCer  <=> 1 beta-D-glucosylsphingosine(1+) + 1 NEFA,L_FAdelete,,CHEBI:15377 + CHEBI:22801 <=> CHEBI:83992 + CHEBI:28868,RHEA:30915
16,"1 dammara-20,24-diene <=> 1 squalene",,,CHEBI:62447 <=> CHEBI:15440,RHEA:31023
17,1 carboxylic ester + 1 water <=> 1 carboxylic acid anion + 1 alcohol + 1 hydron,L_FAdelete,,CHEBI:33308 + CHEBI:15377 <=> CHEBI:29067 + CHEBI:30879 + CHEBI:15378,RHEA:21164
18,1 water + 1 DAG  <=> 1 hydron + 1 NEFA  + 1 MAG,L_FAdelete,,CHEBI:15377 + CHEBI:18035 <=> CHEBI:15378 + CHEBI:28868 + CHEBI:17408,RHEA:32731
19,1 water + 1 CL  <=> 1 hydron + 1 MLCL  + 1 NEFA,,,CHEBI:15377 + CHEBI:62237 <=> CHEBI:15378 + CHEBI:64743 + CHEBI:28868,RHEA:32935
20,"1 water + 1 LPE  <=> 1 hydron + 1 2-ammonioethyl (2R)-2,3-dihydroxypropyl phosphate zwitterion + 1 NEFA ",L_FAmodify,,CHEBI:15377 + CHEBI:64381 <=> CHEBI:15378 + CHEBI:143890 + CHEBI:28868,RHEA:32967
21,1 water + 1 LPS  <=> 1 hydron + 1 sn-glycero-3-phosphoserine(1-) + 1 NEFA,L_FAdelete,,CHEBI:15377 + CHEBI:64379 <=> CHEBI:15378 + CHEBI:64765 + CHEBI:28868,RHEA:32979
22,1 water + 1 Cer 18:0 <=> 1 NEFA  + 1 LCB,L_FAdelete,,CHEBI:15377 + CHEBI:31488 <=> CHEBI:28868 + CHEBI:57817,RHEA:33551
23,1 water + 1 Cer 18:0 <=> 1 LCB  + 1 NEFA,L_FAdelete,,CHEBI:15377 + CHEBI:31998 <=> CHEBI:64124 + CHEBI:28868,RHEA:33555
24,2 iron(2+) + 1 dihydroceramide + 2 hydron + 1 dioxygen <=> 2 iron(3+) + 1 phytoceramide + 1 water,,,CHEBI:29033 + CHEBI:139048 + CHEBI:15378 + CHEBI:15379 <=> CHEBI:29034 + CHEBI:139051 + CHEBI:15377,RHEA:55808
25,1 carboxylic acid anion + 1 ATP(4-) + 1 coenzyme A(4-) <=> 1 adenosine 5'-monophosphate(2-) + 1 diphosphate(3-) + 1 ACoA,,,CHEBI:29067 + CHEBI:30616 + CHEBI:57287 <=> CHEBI:456215 + CHEBI:33019 + CHEBI:58342,RHEA:24336
26,"1 linoleoyl containing 1,2,3-triacyl-sn-glycerol + 1 omega-hydroxy-ultra-long chain fatty acylceramide <=> 1 omega-linoleoyloxy-O-ultra-long chain acylceramide + 1 DAG ",L_FAdelete,,CHEBI:144774 + CHEBI:144784 <=> CHEBI:144785 + CHEBI:18035,RHEA:61528
27,"1 1,2-diacyl-sn-glycero-3-phosphoglycerol(1-) + 1 water <=> 1 2-acyl-sn-glycero-3-phosphoglycerol(1-) + 1 hydron + 1 NEFA ",L_FAdelete,,CHEBI:145394 + CHEBI:15377 <=> CHEBI:145393 + CHEBI:15378 + CHEBI:28868,RHEA:62032
28,1 water + 1 PC  <=> 1 acyl-sn-glycero-3-phosphocholine + 1 hydron + 1 NEFA,L_FAdelete,,CHEBI:15377 + CHEBI:57643 <=> CHEBI:84465 + CHEBI:15378 + CHEBI:28868,RHEA:44664
