ID,RHEA_ID
J3SDX8,10100
P07882,10100
P19835,10100
P30122,10100
P34163,10100
P38571,10100
Q07804,10100
Q07950,10100
Q4R4S5,10100
Q64194,10100
Q64285,10100
Q9Z0M5,10100
J3SDX8,10100
P07882,10100
P19835,10100
P30122,10100
P34163,10100
P38571,10100
Q07804,10100
Q07950,10100
Q4R4S5,10100
Q64194,10100
Q64285,10100
Q9Z0M5,10100
J3SDX8,10100
P07882,10100
P19835,10100
P30122,10100
P34163,10100
P38571,10100
Q07804,10100
Q07950,10100
Q4R4S5,10100
Q64194,10100
Q64285,10100
Q9Z0M5,10100
J3SDX8,10100
P07882,10100
P19835,10100
P30122,10100
P34163,10100
P38571,10100
Q07804,10100
Q07950,10100
Q4R4S5,10100
Q64194,10100
Q64285,10100
Q9Z0M5,10100
J3SDX8,10100
P07882,10100
P19835,10100
P30122,10100
P34163,10100
P38571,10100
Q07804,10100
Q07950,10100
Q4R4S5,10100
Q64194,10100
Q64285,10100
Q9Z0M5,10100
A0JN54,10272
A5IU64,10272
A6QIC6,10272
A6U302,10272
A7X424,10272
A8JQ65,10272
A8Z2R1,10272
B3LXF2,10272
B3NYS4,10272
B4I4Y1,10272
B4JHJ7,10272
B4K6T8,10272
B4PRE2,10272
B4R0A5,10272
B9DMT6,10272
D3YWQ0,10272
D3YXJ0,10272
D3ZEY4,10272
E9PUQ8,10272
F1MAB7,10272
F4JKI3,10272
F4JQ95,10272
O08560,10272
O31502,10272
O75912,10272
O88673,10272
P0ABN1,10272
P0ABN2,10272
P0ABN3,10272
P0ABN4,10272
P20192,10272
P23743,10272
P29945,10272
P34125,10272
P44424,10272
P49619,10272
P49620,10272
P49621,10272
P51556,10272
P52429,10272
P52824,10272
P56411,10272
P9WP28,10272
P9WP29,10272
Q01583,10272
Q03603,10272
Q06119,10272
Q09103,10272
Q10024,10272
Q13574,10272
Q16760,10272
Q1PDI2,10272
Q2FFJ7,10272
Q2FWZ2,10272
Q2YU29,10272
Q39017,10272
Q49YU2,10272
Q4L7L1,10272
Q53H12,10272
Q55143,10272
Q5HEM4,10272
Q5HN36,10272
Q5KSL6,10272
Q5RED7,10272
Q64398,10272
Q6G835,10272
Q6GFF9,10272
Q6NS52,10272
Q6P5E8,10272
Q7A0H3,10272
Q7A4Q8,10272
Q7XQT2,10272
Q7ZW00,10272
Q7ZYJ3,10272
Q80UP3,10272
Q86XP1,10272
Q8CRU5,10272
Q8VZG1,10272
Q91WG7,10272
Q99SY8,10272
Q9C5E5,10272
Q9ESW4,10272
Q9FFN7,10272
