EnzymeID,GeneName,UniProtID,Taxon,TaxonID,Name,Co-Faktor,Complex,Set,Candidate
R-BTA-110060,ECI1,F1MTT7,Bos taurus,2,DCI dimer [mitochondrial matrix],,True,False,False
R-BTA-77335,,Q3SZB4,Bos taurus,2,ACADM tetramer [mitochondrial matrix],,True,False,False
R-BTA-110060,ECI1,F1MTT7,Bos taurus,2,DCI dimer [mitochondrial matrix],,True,False,False
R-BTA-428986,,A0A452DI94,Bos taurus,2,PTGS1 dimer [endoplasmic reticulum membrane],,True,False,False
R-BTA-428986,,A0A452DI94,Bos taurus,2,PTGS1 dimer [endoplasmic reticulum membrane],,True,False,False
R-BTA-1449687,-,-,Bos taurus,2,binding,-,False,False,False
R-BTA-1524029,MBOAT2,F1MH02,Bos taurus,2,LPCAT [endoplasmic reticulum membrane],,False,True,False
R-BTA-1498772,LPCAT1,F1MTK4,Bos taurus,2,LPCAT1 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-1500601,,A0A3Q1LUK0,Bos taurus,2,MGLL dimer [endoplasmic reticulum membrane],,True,False,False
R-BTA-1498760,CRLS1,A5PJS7,Bos taurus,2,CRLS1 [mitochondrial inner membrane],-,False,False,False
R-BTA-1524029,MBOAT2,F1MH02,Bos taurus,2,LPCAT [endoplasmic reticulum membrane],,False,True,False
R-BTA-1500585,AGPAT5,A0A3S5ZPU2,Bos taurus,2,AGPAT5 [mitochondrial outer membrane],-,False,False,False
R-BTA-1498778,MBOAT7,Q0VCY6,Bos taurus,2,MBOAT7 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-1500634,PLA2G2F,A0A3Q1MFE1,Bos taurus,2,PLA2(1) [cytosol],,False,True,False
R-BTA-1524040,PLA2G4F,F1MNU5,Bos taurus,2,PLA2(8) [cytosol],,False,True,False
R-BTA-1498778,MBOAT7,Q0VCY6,Bos taurus,2,MBOAT7 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-1498772,LPCAT1,F1MTK4,Bos taurus,2,LPCAT1 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-428994,LPCAT3,G8JL05,Bos taurus,2,LPCAT3 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-1524035,MBOAT2,F1MH02,Bos taurus,2,LPEAT [endoplasmic reticulum membrane],,False,True,False
R-BTA-1498816,,G5E554,Bos taurus,2,PNPLA3 [endoplasmic reticulum membrane],-,False,False,False
R-BTA-1498816,,G5E554,Bos taurus,2,PNPLA3 [endoplasmic reticulum membrane],-,False,False,False
